Severity,End_Lat,End_Lng
4,41.666124,-83.566335
4,39.76485,-84.09274
4,40.153321,-83.018205
4,40.35429,-85.14993
4,40.45112,-85.15048
4,39.74408,-85.13749
4,39.75855,-85.13715
4,39.976605,-83.021071
4,40.74559,-84.78962
4,39.72395,-82.9867
4,41.71039,-81.17253
4,41.66819,-81.25265
4,40.020034,-80.175188
4,41.62873,-84.80369
4,41.62866,-84.80562
4,41.735609,-84.982632
4,41.62866,-84.80562
4,40.529455,-80.03507
4,40.535447,-80.03596
4,41.96429,-83.35018
4,41.19189,-80.24637
4,40.42642,-85.54938
4,39.97527,-85.14018
4,40.42642,-85.54938
4,40.27678,-85.55806
4,39.98264,-85.14302
4,39.77093,-84.1928
4,39.058008,-84.35856
4,41.669943,-83.693369
4,40.04638,-82.99752
4,40.4342,-79.99635
4,41.4258,-81.75658
4,39.45279,-85.628
4,39.84037,-85.55421
4,39.864781,-84.202359
4,39.82115,-85.77004
4,40.12519,-79.95815
4,40.4342,-79.99635
4,40.12519,-79.95815
4,40.12519,-79.95815
4,39.67907,-85.96786
4,38.33649,-85.81712
4,41.39469,-85.28893
4,41.39546,-85.32855
4,40.80059,-84.61374
4,40.77137,-84.62203
4,40.80059,-84.61374
4,40.78593,-84.61787
4,38.82415,-85.63794
4,38.824929,-85.474495
4,40.600487,-85.150502
4,40.593244,-85.150017
4,41.18483,-80.45009
4,40.56744,-85.14993
4,40.55267,-85.14974
4,40.29145,-81.55699
4,41.12401,-80.677376
4,41.11928,-80.6912
4,41.11882,-80.69266
4,41.11882,-80.69266
4,40.96051,-85.34522
4,40.9605,-85.3528
4,39.517216,-82.025802
4,39.52352,-82.02361
4,40.325909,-83.071612
4,41.75381,-85.43421
4,39.14305,-84.48184
4,40.11036,-83.15869
4,40.121827,-83.151367
4,39.95816,-80.76231
4,39.98564,-80.73999
4,39.93172,-82.92729
4,41.47865,-81.6931
4,40.09826,-83.13456
4,41.46977,-81.74887
4,41.163626,-85.244829
4,41.160009,-85.232528
4,40.945772,-81.172194
4,41.704523,-83.9136
4,41.68591,-83.911307
4,40.94537,-81.15473
4,38.84111,-82.98432
4,38.82445,-82.98299
4,39.97002,-85.35153
4,40.42642,-85.54938
4,40.27678,-85.55806
4,40.05915,-82.99841
4,39.04827,-83.77199
4,39.05029,-83.77673
4,41.438119,-85.159694
4,41.443708,-85.19285
4,39.05964,-84.416682
4,39.22518,-84.45309
4,41.096131,-81.499969
4,41.1215,-81.48673
4,40.82802,-81.39715
4,41.18225,-84.94276
4,41.18225,-84.94276
4,41.2363,-83.65434
4,41.351335,-82.261446
4,41.345031,-82.285379
4,39.626237,-83.73105
4,39.587784,-83.723939
4,41.890234,-85.409642
4,41.874915,-85.409527
4,39.814012,-84.084039
4,39.95664,-83.37415
4,39.93654,-83.40048
4,39.94576,-85.63454
4,39.97518,-85.63374
4,41.66502,-85.02544
4,41.735607,-84.982292
4,41.471378,-85.839527
4,41.427584,-85.8495
4,39.97368,-83.0835
4,39.98511,-85.14406
4,39.97527,-85.14018
4,41.254786,-81.369883
4,40.402251,-85.842969
4,40.354252,-85.843032
4,41.26705,-85.85486
4,39.96392,-81.27197
4,39.9672,-81.287
4,41.86726,-85.67069
4,41.5105,-85.57781
4,41.52447,-85.57791
4,38.913672,-80.58208
4,39.844826,-83.08717
4,39.1765,-84.48757
4,39.15256,-84.53893
4,39.77395,-85.14621
4,38.268034,-85.750619
4,41.02413,-80.90579
4,41.02454,-80.92163
4,39.0885,-84.7939
4,41.192833,-80.159467
4,41.187807,-80.149019
4,40.13189,-80.132407
4,40.12589,-80.13661
4,39.97073,-83.11941
4,39.44135,-82.56107
4,40.513361,-81.651599
4,40.521732,-81.64755
4,38.998635,-80.210198
4,38.83826,-82.163974
4,39.27632,-84.86597
4,41.771477,-83.69533
4,40.52035,-83.10043
4,40.53491,-83.10678
4,39.781457,-85.839651
4,39.781457,-85.839651
4,39.693164,-83.882745
4,39.688148,-83.88431
4,40.045608,-83.296608
4,40.066965,-83.289888
4,39.981095,-85.110273
4,39.98248,-85.123922
4,41.252653,-85.347328
4,41.256658,-85.363439
4,40.41885,-80.34667
4,41.14107,-83.65875
4,39.94969,-83.03882
4,38.340337,-81.684367
4,38.4414,-82.01459
4,38.44081,-82.12548
4,38.4414,-82.01459
4,38.3317,-83.20607
4,39.141454,-84.016543
4,39.137217,-84.047183
4,39.384572,-84.215148
4,41.841123,-84.361652
4,41.840758,-84.361657
4,39.20655,-82.48212
4,39.167788,-82.524172
4,39.961933,-81.175436
4,39.977322,-81.183327
4,38.581196,-82.004356
4,38.583372,-81.994824
4,38.29141,-85.64988
4,39.8714,-84.89547
4,41.15107,-81.21375
4,41.17516,-81.23117
4,39.894461,-82.995466
4,40.880561,-81.965583
4,41.424722,-81.531013
4,38.354505,-81.731585
4,38.353957,-81.735131
4,38.69455,-85.1604
4,39.83208,-83.000447
4,39.83214,-82.99838
4,39.82529,-83.03176
4,39.83209,-82.99884
4,37.915564,-84.861798
4,39.950594,-83.015729
4,39.95292,-82.999281
4,41.204286,-85.704719
4,39.864284,-84.228309
4,39.915551,-83.853318
4,39.89542,-83.85796
4,40.033231,-83.050979
4,38.455335,-85.297894
4,38.455335,-85.297894
4,39.85809,-82.82798
4,38.154807,-80.915906
4,38.1586,-80.90488
4,41.40476,-82.11784
4,39.937567,-83.042092
4,39.936838,-83.042661
4,38.97914,-83.65465
4,39.01992,-83.65886
4,38.536943,-85.776595
4,39.060308,-84.419567
4,40.91649,-81.78869
4,40.90923,-81.79765
4,40.07989,-82.92673
4,40.07989,-82.92673
4,40.0816,-82.91763
4,40.051291,-85.991618
4,41.04409,-81.39317
4,39.90803,-84.03969
4,39.887614,-84.047498
4,41.460561,-80.366376
4,41.47307,-80.36586
4,39.818751,-84.167637
4,39.82329,-84.166569
4,41.029142,-81.393938
4,39.63735,-81.83691
4,40.12519,-79.95815
4,41.34131,-83.376561
4,41.341147,-83.347543
4,39.98381,-80.01011
4,39.971658,-80.017133
4,39.151988,-121.587605
4,36.77191,-119.84427
4,36.771822,-119.839901
4,37.561402,-122.269306
4,37.562904,-122.27145
4,37.561402,-122.269306
4,37.167778,-122.361547
4,37.149294,-122.347247
4,38.23961,-122.09288
4,37.300355,-120.681174
4,37.302169,-120.634748
4,38.74167,-121.27243
4,38.79552,-121.31365
4,38.795204,-121.300755
4,38.795204,-121.300762
4,38.0499,-122.7589
4,38.019529,-122.729951
4,37.49553,-122.36895
4,37.495289,-122.36852
4,38.594672,-121.478941
